Date,Day,Open for Day,High for Day,Low  for Day,Close for Day, %Chg for Day,Volume (thous) for Day
2004-05-26,We,943750,971150,942130,942270,-83,            na
2004-05-25,Tu,            na,            na,            na,            na,            na,            na
2004-05-24,Mo,934920,943050,923220,943050,2417,            na
2004-05-21,Fr,891240,929850,890190,920790,3437,            na
2004-05-20,Th,897470,902320,879710,890190,-661,            na
2004-05-19,We,848560,909250,848560,896110,6136,            na
2004-05-18,Tu,858560,869220,828340,844300,520,            na
2004-05-17,Mo,892680,892680,836870,839930,-6719,            na
2004-05-14,Fr,913630,918740,883460,900430,-1436,            na
2004-05-13,Th,940390,955710,913030,913550,-2854,            na
2004-05-12,We,955860,955860,903020,940390,-1618,            na
2004-05-11,Tu,955840,969480,941440,955860,3704,            na
2004-05-10,Mo,       1005.87,       1005.87,920150,921720,-8366,            na
2004-05-07,Fr,       1054.94,       1054.94,990700,       1005.87,-4651,            na
2004-05-06,Th,       1081.78,       1082.93,       1050.03,       1054.94,-2585,            na
2004-05-05,We,       1080.84,       1087.10,       1075.45,       1082.93,485,            na
2004-05-04,Tu,       1074.20,       1096.10,       1074.20,       1077.70,326,            na
2004-05-03,Mo,       1078.05,       1078.05,       1049.17,       1074.20,-346,            na
2004-04-30,Fr,       1107.30,       1108.28,       1073.75,       1077.93,-2376,            na
2004-04-29,Th,       1131.13,       1134.20,       1099.25,       1104.16,-2564,            na
2004-04-28,We,       1138.07,       1141.51,       1124.73,       1133.22,-426,            na
2004-04-27,Tu,       1152.14,       1157.40,       1132.82,       1138.07,-1348,            na
2004-04-26,Mo,       1144.18,       1165.80,       1137.30,       1153.62,933,            na
2004-04-23,Fr,       1092.18,       1142.96,       1075.24,       1142.96,4628,            na
2004-04-22,Th,       1085.89,       1104.93,       1084.89,       1092.40,702,            na
2004-04-21,We,       1108.31,       1109.77,       1077.59,       1084.78,-2135,            na
2004-04-20,Tu,       1131.64,       1141.55,       1102.58,       1108.45,-2026,            na
2004-04-19,Mo,       1164.30,       1170.21,       1126.67,       1131.37,-2703,            na
2004-04-16,Fr,       1175.63,       1175.63,       1161.40,       1162.80,-1091,            na
2004-04-15,Th,       1191.61,       1191.61,       1171.00,       1175.63,-1386,            na
2004-04-14,We,       1200.50,       1205.32,       1189.88,       1192.15,-861,            na
2004-04-13,Tu,       1178.30,       1202.50,       1178.30,       1202.50,2097,            na
2004-04-12,Mo,       1182.36,       1185.31,       1169.09,       1177.80,-386,            na
2004-04-09,Fr,            na,            na,            na,            na,            na,            na
2004-04-08,Th,            na,            na,            na,            na,            na,            na
2004-04-07,We,       1190.87,       1190.87,       1169.27,       1182.36,-719,            na
2004-04-06,Tu,       1198.04,       1202.49,       1187.22,       1190.92,-553,            na
2004-04-05,Mo,            na,            na,            na,            na,            na,            na
2004-04-02,Fr,       1212.27,       1221.38,       1196.77,       1197.54,-1134,            na
2004-04-01,Th,       1202.14,       1217.94,       1202.14,       1211.27,800,            na
2004-03-31,We,       1198.57,       1212.55,       1197.07,       1201.66,304,            na
2004-03-30,Tu,       1184.26,       1207.15,       1184.26,       1198.02,1133,            na
2004-03-29,Mo,       1210.43,       1211.11,       1178.77,       1184.60,-2182,            na
2004-03-26,Fr,       1243.46,       1244.12,       1211.01,       1211.03,-2561,            na
2004-03-25,Th,       1240.51,       1246.69,       1235.99,       1242.86,246,            na
2004-03-24,We,       1256.79,       1257.99,       1239.32,       1239.81,-1373,            na
2004-03-23,Tu,       1259.32,       1264.94,       1243.60,       1257.07,-150,            na
